noise_level,seed,model,accuracy,f1_macro,train_time_s,best_params,f1_shelf_picking,f1_front_zone_bin,f1_special_zone,f1_floor_block,f1_pallet_rack,denoising_gain
0.15,789,rf,0.9770864946889226,0.975076148329231,49.945379972457886,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.9826435246995996,0.980275601188868,0.9579045837231056,0.9722735674676524,0.9822834645669292,0.12708649468892264
0.15,789,xgb,0.9795144157814872,0.9785493465250962,25.502408504486084,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 6, 'classifier__n_estimators': 100}",0.9845094664371772,0.9818673883626522,0.9602954755309326,0.9760147601476016,0.9900596421471172,0.12951441578148726
0.15,1024,dt,0.9735963581183612,0.9673154605981964,3.5189414024353027,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 5}",0.9847560975609756,0.9807848443843032,0.943466172381835,0.9690721649484536,0.958498023715415,0.12359635811836123
0.15,1024,rf,0.977238239757208,0.9748319251654094,45.817598819732666,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.9830379264341528,0.980815995676844,0.9583528310715956,0.966789667896679,0.9851632047477744,0.12723823975720805
0.15,1024,xgb,0.9798179059180576,0.9777105019767346,25.485763549804688,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 8, 'classifier__n_estimators': 100}",0.9860340539506408,0.982995951417004,0.9593345656192236,0.9731232622798888,0.9870646766169154,0.12981790591805764
0.2,42,dt,0.9698027314112292,0.9637627609825536,3.270822286605835,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",0.980107115531752,0.9797242497972424,0.9367441860465116,0.9481346678798908,0.9741035856573704,0.16980273141122915
0.2,42,rf,0.9764795144157816,0.973730972200402,43.66244196891785,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.9830508474576272,0.9796913078797724,0.9570093457943926,0.967622571692877,0.98128078817734,0.17647951441578158
0.2,42,xgb,0.9783004552352048,0.975946136397386,25.21534419059753,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 6, 'classifier__n_estimators': 100}",0.9860553963705826,0.9796472184531886,0.9575253924284396,0.9723756906077348,0.984126984126984,0.17830045523520477
0.2,123,dt,0.9681335356600912,0.957317039831988,3.413460254669189,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",0.983057300590139,0.978054727716066,0.9372071227741332,0.9590536851683348,0.9292123629112662,0.16813353566009115
0.2,123,rf,0.9775417298937784,0.9754860394974422,43.79847311973572,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.9838126071224528,0.9797352067008916,0.9582355701548568,0.9704251386321626,0.9852216748768472,0.17754172989377837
